month,year,kraj,celkem,m_do_65,z_do_65
may,2023,PHA,1971,820,861
may,2023,JHM,929,297,484
may,2023,JHC,289,121,135
may,2023,KVK,157,34,74
may,2023,VYS,440,143,219
may,2023,HKK,360,133,173
may,2023,LBK,234,95,101
may,2023,MSK,415,148,200
may,2023,OLK,303,104,153
may,2023,PAK,257,75,126
may,2023,PLK,470,191,202
may,2023,STC,1027,330,474
may,2023,ZLK,145,63,61
may,2023,ULK,156,62,61
june,2023,PHA,2397,833,1041
june,2023,JHM,1066,229,622
june,2023,JHC,239,46,120
june,2023,KVK,208,35,122
june,2023,VYS,444,108,218
june,2023,HKK,267,47,113
june,2023,LBK,235,26,125
june,2023,MSK,317,97,117
june,2023,OLK,299,85,156
june,2023,PAK,440,108,205
june,2023,PLK,714,200,395
june,2023,STC,1211,323,660
june,2023,ZLK,267,85,132
june,2023,ULK,320,117,116
july,2023,PHA,2840,971,1120
july,2023,JHM,1161,275,660
july,2023,JHC,437,98,199
july,2023,KVK,303,54,154
july,2023,VYS,433,137,169
july,2023,HKK,394,133,144
july,2023,LBK,307,87,133
july,2023,MSK,509,142,188
july,2023,OLK,367,112,181
july,2023,PAK,455,129,177
july,2023,PLK,877,217,477
july,2023,STC,1212,415,528
july,2023,ZLK,314,100,156
july,2023,ULK,375,158,140
august,2023,PHA,1884,631,822
august,2023,JHM,609,234,278
august,2023,JHC,256,100,106
august,2023,KVK,221,32,121
august,2023,VYS,418,110,180
august,2023,HKK,365,121,128
august,2023,LBK,290,121,110
august,2023,MSK,334,144,129
august,2023,OLK,197,63,111
august,2023,PAK,253,72,125
august,2023,PLK,617,179,321
august,2023,STC,875,304,377
august,2023,ZLK,152,56,55
august,2023,ULK,224,111,64
september,2023,PHA,2009,774,767
september,2023,JHM,880,252,465
september,2023,JHC,231,73,121
september,2023,KVK,277,50,172
september,2023,VYS,334,117,163
september,2023,HKK,372,120,178
september,2023,LBK,192,86,92
september,2023,MSK,337,122,133
september,2023,OLK,182,63,99
september,2023,PAK,274,102,138
september,2023,PLK,703,195,386
september,2023,STC,985,333,502
september,2023,ZLK,162,70,65
september,2023,ULK,186,80,69
