month,year,reer,kraj
august,2023,115.41,PLK
august,2023,115.41,OLK
august,2023,115.41,KVK
august,2023,115.41,ZLK
august,2023,115.41,ULK
august,2023,115.41,MSK
august,2023,115.41,LBK
september,2023,115.41,PHA
september,2023,115.41,HKK
september,2023,115.41,STC
september,2023,115.41,PAK
september,2023,115.41,VYS
september,2023,115.41,JHC
september,2023,115.41,JHM
september,2023,115.41,PLK
september,2023,115.41,OLK
september,2023,115.41,KVK
september,2023,115.41,ZLK
september,2023,115.41,ULK
september,2023,115.41,MSK
september,2023,115.41,LBK
