month,year,monthly_inflation_rate_wrt_last_year,kraj
august,2023,8.5,JHM
august,2023,8.5,PLK
august,2023,8.5,OLK
august,2023,8.5,KVK
august,2023,8.5,ZLK
august,2023,8.5,ULK
august,2023,8.5,MSK
august,2023,8.5,LBK
september,2023,6.9,PHA
september,2023,6.9,HKK
september,2023,6.9,STC
september,2023,6.9,PAK
september,2023,6.9,VYS
september,2023,6.9,JHC
september,2023,6.9,JHM
september,2023,6.9,PLK
september,2023,6.9,OLK
september,2023,6.9,KVK
september,2023,6.9,ZLK
september,2023,6.9,ULK
september,2023,6.9,MSK
september,2023,6.9,LBK
