month,year,kraj,monthly_min_wage
july,2009,LBK,8000
august,2009,PHA,8000
august,2009,HKK,8000
august,2009,STC,8000
august,2009,PAK,8000
august,2009,VYS,8000
august,2009,JHC,8000
august,2009,JHM,8000
august,2009,PLK,8000
august,2009,OLK,8000
august,2009,KVK,8000
august,2009,ZLK,8000
august,2009,ULK,8000
august,2009,MSK,8000
august,2009,LBK,8000
september,2009,PHA,8000
september,2009,HKK,8000
september,2009,STC,8000
september,2009,PAK,8000
september,2009,VYS,8000
september,2009,JHC,8000
september,2009,JHM,8000
september,2009,PLK,8000
september,2009,OLK,8000
september,2009,KVK,8000
september,2009,ZLK,8000
september,2009,ULK,8000
september,2009,MSK,8000
september,2009,LBK,8000
october,2009,PHA,8000
october,2009,HKK,8000
october,2009,STC,8000
october,2009,PAK,8000
october,2009,VYS,8000
october,2009,JHC,8000
october,2009,JHM,8000
october,2009,PLK,8000
october,2009,OLK,8000
october,2009,KVK,8000
october,2009,ZLK,8000
october,2009,ULK,8000
october,2009,MSK,8000
october,2009,LBK,8000
november,2009,PHA,8000
november,2009,HKK,8000
november,2009,STC,8000
november,2009,PAK,8000
november,2009,VYS,8000
november,2009,JHC,8000
november,2009,JHM,8000
november,2009,PLK,8000
november,2009,OLK,8000
november,2009,KVK,8000
november,2009,ZLK,8000
november,2009,ULK,8000
november,2009,MSK,8000
november,2009,LBK,8000
december,2009,PHA,8000
december,2009,HKK,8000
december,2009,STC,8000
december,2009,PAK,8000
december,2009,VYS,8000
december,2009,JHC,8000
december,2009,JHM,8000
december,2009,PLK,8000
december,2009,OLK,8000
december,2009,KVK,8000
december,2009,ZLK,8000
december,2009,ULK,8000
december,2009,MSK,8000
december,2009,LBK,8000
january,2010,PHA,8000
january,2010,HKK,8000
january,2010,STC,8000
january,2010,PAK,8000
january,2010,VYS,8000
january,2010,JHC,8000
january,2010,JHM,8000
january,2010,PLK,8000
january,2010,OLK,8000
january,2010,KVK,8000
january,2010,ZLK,8000
january,2010,ULK,8000
january,2010,MSK,8000
january,2010,LBK,8000
february,2010,PHA,8000
february,2010,HKK,8000
february,2010,STC,8000
february,2010,PAK,8000
february,2010,VYS,8000
february,2010,JHC,8000
february,2010,JHM,8000
february,2010,PLK,8000
february,2010,OLK,8000
february,2010,KVK,8000
february,2010,ZLK,8000
february,2010,ULK,8000
february,2010,MSK,8000
february,2010,LBK,8000
march,2010,PHA,8000
march,2010,HKK,8000
march,2010,STC,8000
march,2010,PAK,8000
march,2010,VYS,8000
march,2010,JHC,8000
march,2010,JHM,8000
march,2010,PLK,8000
march,2010,OLK,8000
march,2010,KVK,8000
march,2010,ZLK,8000
march,2010,ULK,8000
march,2010,MSK,8000
march,2010,LBK,8000
april,2010,PHA,8000
april,2010,HKK,8000
april,2010,STC,8000
april,2010,PAK,8000
april,2010,VYS,8000
april,2010,JHC,8000
april,2010,JHM,8000
april,2010,PLK,8000
april,2010,OLK,8000
april,2010,KVK,8000
april,2010,ZLK,8000
april,2010,ULK,8000
april,2010,MSK,8000
april,2010,LBK,8000
may,2010,PHA,8000
may,2010,HKK,8000
may,2010,STC,8000
may,2010,PAK,8000
may,2010,VYS,8000
may,2010,JHC,8000
may,2010,JHM,8000
may,2010,PLK,8000
may,2010,OLK,8000
may,2010,KVK,8000
may,2010,ZLK,8000
may,2010,ULK,8000
may,2010,MSK,8000
may,2010,LBK,8000
june,2010,PHA,8000
june,2010,HKK,8000
june,2010,STC,8000
june,2010,PAK,8000
june,2010,VYS,8000
june,2010,JHC,8000
june,2010,JHM,8000
june,2010,PLK,8000
june,2010,OLK,8000
june,2010,KVK,8000
june,2010,ZLK,8000
june,2010,ULK,8000
june,2010,MSK,8000
june,2010,LBK,8000
july,2010,PHA,8000
july,2010,HKK,8000
july,2010,STC,8000
july,2010,PAK,8000
july,2010,VYS,8000
july,2010,JHC,8000
july,2010,JHM,8000
july,2010,PLK,8000
july,2010,OLK,8000
july,2010,KVK,8000
july,2010,ZLK,8000
july,2010,ULK,8000
july,2010,MSK,8000
july,2010,LBK,8000
august,2010,PHA,8000
august,2010,HKK,8000
august,2010,STC,8000
august,2010,PAK,8000
august,2010,VYS,8000
august,2010,JHC,8000
