month,year,kraj,celkem,m_do_65,z_do_65,monthly_min_wage,monthly_inflation_rate_wrt_last_year,reer
november,2022,VYS,314,154,136,16200,16.2,112.41
november,2022,HKK,198,92,70,16200,16.2,112.41
november,2022,LBK,276,116,117,16200,16.2,112.41
november,2022,MSK,402,225,164,16200,16.2,112.41
november,2022,OLK,197,81,84,16200,16.2,112.41
november,2022,PAK,400,144,181,16200,16.2,112.41
november,2022,PLK,445,218,246,16200,16.2,112.41
november,2022,STC,551,330,213,16200,16.2,112.41
november,2022,ZLK,149,65,76,16200,16.2,112.41
november,2022,ULK,272,117,87,16200,16.2,112.41
december,2022,PHA,1322,499,634,16200,15.8,112.41
december,2022,JHM,526,197,291,16200,15.8,112.41
december,2022,JHC,206,71,67,16200,15.8,112.41
december,2022,KVK,134,47,63,16200,15.8,112.41
december,2022,VYS,157,65,60,16200,15.8,112.41
december,2022,HKK,226,97,66,16200,15.8,112.41
december,2022,LBK,142,46,69,16200,15.8,112.41
december,2022,MSK,412,155,174,16200,15.8,112.41
december,2022,OLK,119,43,58,16200,15.8,112.41
december,2022,PAK,215,74,97,16200,15.8,112.41
december,2022,PLK,443,141,255,16200,15.8,112.41
december,2022,STC,299,179,170,16200,15.8,112.41
december,2022,ZLK,127,54,46,16200,15.8,112.41
december,2022,ULK,355,118,122,16200,15.8,112.41
january,2023,PHA,2226,868,945,17300,17.5,116.3
january,2023,JHM,684,240,372,17300,17.5,116.3
january,2023,JHC,313,73,161,17300,17.5,116.3
january,2023,KVK,-9647,-1540,-4228,17300,17.5,116.3
january,2023,VYS,441,150,207,17300,17.5,116.3
january,2023,HKK,317,124,131,17300,17.5,116.3
january,2023,LBK,323,100,207,17300,17.5,116.3
january,2023,MSK,425,153,237,17300,17.5,116.3
january,2023,OLK,-4394,-771,-1962,17300,17.5,116.3
january,2023,PAK,450,119,229,17300,17.5,116.3
january,2023,PLK,-1827,-297,-769,17300,17.5,116.3
january,2023,STC,813,356,407,17300,17.5,116.3
january,2023,ZLK,140,76,72,17300,17.5,116.3
january,2023,ULK,368,130,162,17300,17.5,116.3
february,2023,PHA,2245,932,869,17300,16.7,116.3
february,2023,JHM,663,275,284,17300,16.7,116.3
february,2023,JHC,-50,19,-51,17300,16.7,116.3
february,2023,KVK,10534,1764,4706,17300,16.7,116.3
february,2023,VYS,425,161,173,17300,16.7,116.3
february,2023,HKK,243,132,68,17300,16.7,116.3
february,2023,LBK,409,139,201,17300,16.7,116.3
february,2023,MSK,626,181,288,17300,16.7,116.3
february,2023,OLK,4877,957,2166,17300,16.7,116.3
february,2023,PAK,370,120,157,17300,16.7,116.3
february,2023,PLK,3078,750,1381,17300,16.7,116.3
february,2023,STC,1196,469,573,17300,16.7,116.3
february,2023,ZLK,209,105,67,17300,16.7,116.3
