kraj,month,year,bilance
PLK,6,2006,3.586
HKK,6,2006,3.586
VYS,6,2006,3.586
KVK,6,2006,3.586
LBK,6,2006,3.586
PAK,6,2006,3.586
MSK,6,2006,3.586
OLK,6,2006,3.586
ULK,6,2006,3.586
ZLK,6,2006,3.586
JHC,6,2006,3.586
PHA,7,2006,-4.273
STC,7,2006,-4.273
JHM,7,2006,-4.273
PLK,7,2006,-4.273
HKK,7,2006,-4.273
VYS,7,2006,-4.273
KVK,7,2006,-4.273
LBK,7,2006,-4.273
PAK,7,2006,-4.273
MSK,7,2006,-4.273
OLK,7,2006,-4.273
ULK,7,2006,-4.273
ZLK,7,2006,-4.273
JHC,7,2006,-4.273
PHA,8,2006,-2.864
STC,8,2006,-2.864
JHM,8,2006,-2.864
PLK,8,2006,-2.864
HKK,8,2006,-2.864
VYS,8,2006,-2.864
KVK,8,2006,-2.864
LBK,8,2006,-2.864
PAK,8,2006,-2.864
MSK,8,2006,-2.864
OLK,8,2006,-2.864
ULK,8,2006,-2.864
ZLK,8,2006,-2.864
JHC,8,2006,-2.864
PHA,9,2006,2.865
STC,9,2006,2.865
JHM,9,2006,2.865
PLK,9,2006,2.865
HKK,9,2006,2.865
VYS,9,2006,2.865
KVK,9,2006,2.865
LBK,9,2006,2.865
PAK,9,2006,2.865
MSK,9,2006,2.865
OLK,9,2006,2.865
ULK,9,2006,2.865
ZLK,9,2006,2.865
JHC,9,2006,2.865
PHA,10,2006,-1.697
STC,10,2006,-1.697
JHM,10,2006,-1.697
PLK,10,2006,-1.697
HKK,10,2006,-1.697
VYS,10,2006,-1.697
KVK,10,2006,-1.697
LBK,10,2006,-1.697
PAK,10,2006,-1.697
MSK,10,2006,-1.697
OLK,10,2006,-1.697
ULK,10,2006,-1.697
ZLK,10,2006,-1.697
JHC,10,2006,-1.697
PHA,11,2006,1.791
STC,11,2006,1.791
JHM,11,2006,1.791
PLK,11,2006,1.791
HKK,11,2006,1.791
VYS,11,2006,1.791
KVK,11,2006,1.791
