;listopad 2011;473.172;236.252;236.920;-668;105,3;106,3;104,3
;prosinec 2011;410.452;200.635;209.817;-9.182;106,0;105,9;106,1
;leden 2012;440.739;223.226;217.513;5.713;110,4;110,8;110,1
;únor 2012;445.945;229.080;216.865;12.215;112,4;115,3;109,5
;březen 2012;486.264;249.895;236.369;13.526;106,3;107,1;105,5
;duben 2012;443.490;224.568;218.922;5.646;108,0;108,8;107,2
;květen 2012;459.553;230.693;228.860;1.833;103,8;104,1;103,5
;červen 2012;458.170;234.720;223.450;11.270;105,0;106,4;103,6
;červenec 2012;431.276;217.028;214.248;2.780;109,0;110,8;107,3
;srpen 2012;422.690;211.421;211.269;152;103,3;107,1;99,8
;září 2012;446.429;228.113;218.316;9.797;98,6;99,5;97,7
;říjen 2012;496.858;248.374;248.484;-110;111,5;108,3;114,8
;listopad 2012;478.018;243.049;234.969;8.080;101,0;102,9;99,2
;prosinec 2012;377.843;185.676;192.167;-6.492;92,1;92,5;91,6
;leden 2013;420.920;212.330;208.590;3.739;95,5;95,1;95,9
;únor 2013;414.600;215.645;198.955;16.690;93,0;94,1;91,7
;březen 2013;451.296;233.258;218.038;15.220;92,8;93,3;92,2
;duben 2013;455.281;235.539;219.742;15.797;102,7;104,9;100,4
;květen 2013;449.436;231.406;218.030;13.375;97,8;100,3;95,3
;červen 2013;444.300;229.599;214.701;14.898;97,0;97,8;96,1
;červenec 2013;442.669;223.787;218.882;4.905;102,6;103,1;102,2
;srpen 2013;431.656;216.391;215.265;1.127;102,1;102,4;101,9
;září 2013;487.255;249.160;238.095;11.065;109,1;109,2;109,1
;říjen 2013;513.753;261.161;252.592;8.569;103,4;105,1;101,7
;listopad 2013;515.693;263.538;252.155;11.383;107,9;108,4;107,3
;prosinec 2013;439.082;214.416;224.666;-10.250;116,2;115,5;116,9
;leden 2014;486.680;251.002;235.678;15.325;115,6;118,2;113,0
;únor 2014;488.483;251.391;237.092;14.299;117,8;116,6;119,2
;březen 2014;522.093;273.254;248.839;24.415;115,7;117,1;114,1
;duben 2014;515.557;265.533;250.024;15.509;113,2;112,7;113,8
;květen 2014;504.439;258.124;246.315;11.809;112,2;111,5;113,0
;červen 2014;517.659;267.324;250.335;16.989;116,5;116,4;116,6
;červenec 2014;527.979;269.298;258.681;10.616;119,3;120,3;118,2
;srpen 2014;442.467;221.805;220.662;1.143;102,5;102,5;102,5
;září 2014;559.604;289.345;270.259;19.086;114,8;116,1;113,5
;říjen 2014;568.495;290.333;278.162;12.171;110,7;111,2;110,1
;listopad 2014;539.517;274.883;264.634;10.249;104,6;104,3;104,9
;prosinec 2014;479.414;236.906;242.508;-5.602;109,2;110,5;107,9
;leden 2015;487.483;253.812;233.671;20.141;100,2;101,1;99,1
;únor 2015;511.157;264.067;247.089;16.978;104,6;105,0;104,2
;březen 2015;578.345;297.172;281.174;15.998;110,8;108,8;113,0
;duben 2015;537.595;275.577;262.018;13.558;104,3;103,8;104,8
;květen 2015;511.443;259.558;251.885;7.673;101,4;100,6;102,3
;červen 2015;571.585;292.969;278.616;14.352;110,4;109,6;111,3
;červenec 2015;540.694;272.528;268.166;4.362;102,4;101,2;103,7
;srpen 2015;454.799;226.536;228.262;-1.726;102,8;102,1;103,4
;září 2015;562.308;289.142;273.166;15.976;100,5;99,9;101,1
;říjen 2015;578.027;296.601;281.425;15.176;101,7;102,2;101,2
;listopad 2015;571.010;290.327;280.683;9.644;105,8;105,6;106,1
;prosinec 2015;490.521;244.683;245.839;-1.156;102,3;103,3;101,4
;leden 2016;491.277;256.084;235.194;20.890;100,8;100,9;100,7
;únor 2016;538.294;279.095;259.199;19.896;105,3;105,7;104,9
;březen 2016;562.318;291.622;270.696;20.927;97,2;98,1;96,3
;duben 2016;544.505;284.184;260.321;23.863;101,3;103,1;99,4
;květen 2016;542.357;279.617;262.740;16.877;106,0;107,7;104,3
;červen 2016;570.646;295.345;275.301;20.045;99,8;100,8;98,8
;červenec 2016;453.945;226.868;227.077;-209;84,0;83,2;84,7
;srpen 2016;517.923;262.624;255.299;7.325;113,9;115,9;111,8
;září 2016;557.856;288.613;269.242;19.371;99,2;99,8;98,6
;říjen 2016;554.834;284.766;270.068;14.699;96,0;96,0;96,0
;listopad 2016;597.634;302.981;294.653;8.328;104,7;104,4;105,0
;prosinec 2016;502.969;247.306;255.663;-8.357;102,5;101,1;104,0
;leden 2017;552.839;288.048;264.791;23.257;112,5;112,5;112,6
