month,year,kraj,general_thefts,break_in_thefts
9,2022,LBK,134,111
10,2022,LBK,157,166
11,2022,LBK,131,162
12,2022,LBK,123,132
1,2022,MSK,416,373
2,2022,MSK,351,331
3,2022,MSK,394,411
4,2022,MSK,393,397
5,2022,MSK,443,342
6,2022,MSK,444,330
7,2022,MSK,427,336
8,2022,MSK,441,356
9,2022,MSK,427,390
10,2022,MSK,429,405
11,2022,MSK,363,429
12,2022,MSK,247,375
1,2022,OLK,149,59
2,2022,OLK,99,63
3,2022,OLK,108,94
4,2022,OLK,113,85
5,2022,OLK,121,102
6,2022,OLK,111,81
7,2022,OLK,129,107
8,2022,OLK,130,100
9,2022,OLK,95,96
10,2022,OLK,150,95
11,2022,OLK,150,100
12,2022,OLK,96,113
1,2022,PAK,66,40
2,2022,PAK,58,45
3,2022,PAK,60,49
4,2022,PAK,69,43
5,2022,PAK,72,40
6,2022,PAK,62,61
7,2022,PAK,72,35
8,2022,PAK,75,62
9,2022,PAK,77,70
10,2022,PAK,76,68
11,2022,PAK,60,42
12,2022,PAK,19,48
1,2022,PHA,746,737
2,2022,PHA,647,672
3,2022,PHA,804,701
4,2022,PHA,795,793
5,2022,PHA,890,804
6,2022,PHA,865,760
7,2022,PHA,975,824
8,2022,PHA,1003,743
9,2022,PHA,894,695
10,2022,PHA,927,805
11,2022,PHA,871,738
12,2022,PHA,865,748
1,2022,PLK,157,164
2,2022,PLK,132,168
3,2022,PLK,147,161
4,2022,PLK,139,192
5,2022,PLK,142,205
6,2022,PLK,164,208
7,2022,PLK,204,216
8,2022,PLK,173,167
9,2022,PLK,142,158
10,2022,PLK,172,193
11,2022,PLK,159,180
12,2022,PLK,109,186
1,2022,STC,238,323
2,2022,STC,228,334
3,2022,STC,216,350
4,2022,STC,222,326
5,2022,STC,336,346
6,2022,STC,262,304
7,2022,STC,274,363
8,2022,STC,289,371
9,2022,STC,274,310
10,2022,STC,242,370
11,2022,STC,266,331
12,2022,STC,229,416
1,2022,ULK,288,243
2,2022,ULK,238,232
3,2022,ULK,264,239
4,2022,ULK,229,237
5,2022,ULK,265,223
6,2022,ULK,219,220
7,2022,ULK,268,217
8,2022,ULK,278,244
9,2022,ULK,250,227
10,2022,ULK,223,222
11,2022,ULK,239,233
12,2022,ULK,146,218
1,2022,VYS,63,47
2,2022,VYS,45,48
3,2022,VYS,51,64
4,2022,VYS,49,62
5,2022,VYS,47,36
6,2022,VYS,65,32
7,2022,VYS,62,72
8,2022,VYS,88,53
9,2022,VYS,60,57
10,2022,VYS,51,50
11,2022,VYS,62,59
12,2022,VYS,22,48
1,2022,ZLK,72,47
2,2022,ZLK,62,46
3,2022,ZLK,45,53
4,2022,ZLK,62,51
5,2022,ZLK,69,56
6,2022,ZLK,71,57
7,2022,ZLK,91,50
8,2022,ZLK,73,59
9,2022,ZLK,65,52
10,2022,ZLK,79,63
11,2022,ZLK,70,59
12,2022,ZLK,44,32
1,2023,HKK,109,50
2,2023,HKK,70,49
3,2023,HKK,120,53
4,2023,HKK,102,77
5,2023,HKK,116,77
6,2023,HKK,85,74
7,2023,HKK,105,64
8,2023,HKK,102,53
9,2023,HKK,85,62
10,2023,HKK,120,82
1,2023,JHC,142,116
2,2023,JHC,87,118
3,2023,JHC,117,111
4,2023,JHC,94,97
5,2023,JHC,125,87
6,2023,JHC,129,86
7,2023,JHC,121,92
8,2023,JHC,123,97
9,2023,JHC,93,78
10,2023,JHC,102,94
1,2023,JHM,363,294
2,2023,JHM,268,232
3,2023,JHM,291,224
4,2023,JHM,255,243
5,2023,JHM,306,265
6,2023,JHM,356,208
7,2023,JHM,347,221
8,2023,JHM,345,250
9,2023,JHM,298,220
10,2023,JHM,304,215
1,2023,KVK,112,95
2,2023,KVK,72,65
3,2023,KVK,69,65
4,2023,KVK,70,62
5,2023,KVK,74,71
6,2023,KVK,65,68
7,2023,KVK,106,96
8,2023,KVK,80,94
9,2023,KVK,98,69
10,2023,KVK,93,65
1,2023,LBK,170,129
2,2023,LBK,90,82
3,2023,LBK,140,138
4,2023,LBK,96,118
5,2023,LBK,137,113
6,2023,LBK,89,113
7,2023,LBK,126,101
8,2023,LBK,122,104
9,2023,LBK,84,85
10,2023,LBK,84,89
1,2023,MSK,505,426
2,2023,MSK,352,372
3,2023,MSK,404,391
4,2023,MSK,403,353
5,2023,MSK,426,429
6,2023,MSK,406,320
7,2023,MSK,352,347
8,2023,MSK,407,384
9,2023,MSK,408,288
10,2023,MSK,353,277
1,2023,OLK,134,133
2,2023,OLK,144,78
3,2023,OLK,157,106
4,2023,OLK,123,85
5,2023,OLK,120,79
6,2023,OLK,139,81
7,2023,OLK,105,66
8,2023,OLK,164,65
9,2023,OLK,143,64
10,2023,OLK,144,58
1,2023,PAK,78,52
2,2023,PAK,63,42
3,2023,PAK,58,40
4,2023,PAK,62,32
5,2023,PAK,62,25
6,2023,PAK,53,19
7,2023,PAK,64,36
8,2023,PAK,94,37
9,2023,PAK,66,41
10,2023,PAK,72,38
1,2023,PHA,849,910
2,2023,PHA,765,797
3,2023,PHA,841,770
4,2023,PHA,734,789
5,2023,PHA,871,803
6,2023,PHA,916,854
7,2023,PHA,997,814
8,2023,PHA,999,690
9,2023,PHA,902,707
10,2023,PHA,890,759
1,2023,PLK,161,218
2,2023,PLK,122,113
3,2023,PLK,153,155
4,2023,PLK,126,152
5,2023,PLK,157,141
6,2023,PLK,101,98
7,2023,PLK,138,98
8,2023,PLK,140,135
9,2023,PLK,145,130
10,2023,PLK,155,125
1,2023,STC,281,470
2,2023,STC,248,414
3,2023,STC,259,402
4,2023,STC,233,403
5,2023,STC,293,363
6,2023,STC,255,285
7,2023,STC,272,270
8,2023,STC,272,296
9,2023,STC,262,254
10,2023,STC,221,283
1,2023,ULK,329,230
2,2023,ULK,267,220
3,2023,ULK,254,199
4,2023,ULK,219,212
5,2023,ULK,212,199
6,2023,ULK,183,180
7,2023,ULK,239,203
8,2023,ULK,229,184
9,2023,ULK,243,200
10,2023,ULK,219,213
1,2023,VYS,68,34
2,2023,VYS,75,43
3,2023,VYS,63,47
4,2023,VYS,85,43
5,2023,VYS,47,46
6,2023,VYS,70,30
7,2023,VYS,47,57
8,2023,VYS,80,44
9,2023,VYS,62,39
10,2023,VYS,77,49
1,2023,ZLK,136,64
2,2023,ZLK,74,48
3,2023,ZLK,85,67
4,2023,ZLK,71,42
5,2023,ZLK,71,50
6,2023,ZLK,68,51
7,2023,ZLK,95,48
8,2023,ZLK,106,30
9,2023,ZLK,67,57
10,2023,ZLK,93,35
