month,year,kraj,uchazeciOZamestnaniUoZ,noveHlaseniUchazeci,noveHlasenaAUvolnenaVPM,obsazenaAZrusenaVPM,absolventiSkolAMladistvi
9,2008,KVK,11893,2282,653,867,971
9,2008,LBK,14648,3061,1579,2017,1274
9,2008,MSK,54473,8491,3083,4773,4370
9,2008,OLK,20223,4162,1638,1825,1913
9,2008,PAK,14193,3362,1684,4222,1596
9,2008,PHA,17136,4370,7390,10405,1158
9,2008,PLK,14239,3368,2930,3542,1498
9,2008,STC,27757,6600,4677,4939,2795
9,2008,ULK,41829,6723,2193,2588,3315
9,2008,VYS,14630,3120,1207,1706,1655
9,2008,ZLK,17911,3576,1313,1513,1783
10,2008,HKK,12609,2748,1596,1969,1310
10,2008,JHC,14506,3031,1382,2094,1482
10,2008,JHM,38254,5396,2964,4693,3253
10,2008,KVK,12005,1862,570,836,959
10,2008,LBK,14724,2520,1375,1883,1211
10,2008,MSK,52991,6218,2767,3873,3907
10,2008,OLK,19964,3177,1628,2402,1703
10,2008,PAK,14104,2448,1639,3104,1454
10,2008,PHA,16866,3750,7706,6873,1103
10,2008,PLK,14130,2591,2491,3137,1358
10,2008,STC,27638,5295,4366,5506,2580
10,2008,ULK,41755,5364,2232,2979,3109
10,2008,VYS,14593,2538,1001,1164,1489
10,2008,ZLK,17566,2465,1406,2043,1586
11,2008,HKK,13126,2607,1193,2010,1196
11,2008,JHC,15121,2934,1037,1985,1390
11,2008,JHM,39124,5584,2231,7165,3005
11,2008,KVK,12391,1761,431,787,890
11,2008,LBK,15281,2518,843,1753,1105
11,2008,MSK,53853,6696,2284,4633,3601
11,2008,OLK,20697,3381,998,1606,1611
11,2008,PAK,14688,2601,795,2159,1300
11,2008,PHA,16784,3265,5996,6730,971
11,2008,PLK,14765,2718,2359,3048,1228
11,2008,STC,28350,5027,3733,6638,2325
11,2008,ULK,42510,5123,1578,2311,2949
11,2008,VYS,15583,2945,558,1128,1375
11,2008,ZLK,18026,2615,757,1657,1475
12,2008,HKK,14728,3213,870,1451,1205
12,2008,JHC,17505,4022,608,1475,1427
12,2008,JHM,43063,7314,1740,3368,3019
12,2008,KVK,13437,2109,387,572,918
12,2008,LBK,16605,2836,617,1205,1112
12,2008,MSK,57455,7939,1216,4062,3623
12,2008,OLK,23470,4751,576,1661,1645
12,2008,PAK,16998,3702,663,1637,1355
12,2008,PHA,17433,3383,4831,7598,904
12,2008,PLK,16757,3593,1545,5046,1228
12,2008,STC,31220,6075,1764,3807,2295
12,2008,ULK,45657,6407,747,1337,2945
12,2008,VYS,17874,3600,485,1358,1425
12,2008,ZLK,20048,3477,518,2108,1533
1,2009,HKK,17240,4781,1417,2948,1221
1,2009,JHC,20611,5538,1053,2289,1512
1,2009,JHM,48155,9824,3140,4985,3078
1,2009,KVK,15399,3325,496,1050,960
1,2009,LBK,19266,4814,1134,1665,1126
1,2009,MSK,64384,12418,1718,5631,3744
1,2009,OLK,27334,6390,1007,2184,1683
1,2009,PAK,19705,4779,1002,1781,1398
1,2009,PHA,18616,4690,6658,9879,858
1,2009,PLK,18936,4566,1411,3654,1197
1,2009,STC,34632,8127,3850,7080,2266
1,2009,ULK,49681,8419,1608,2374,3071
1,2009,VYS,20932,4933,857,1324,1485
1,2009,ZLK,23170,5272,793,1995,1618
2,2009,HKK,18651,3333,904,1415,1240
2,2009,JHC,22356,3999,869,1464,1658
2,2009,JHM,51531,7663,2447,2684,3280
2,2009,KVK,16458,2392,456,534,1006
2,2009,LBK,21106,3641,996,1195,1173
2,2009,MSK,69065,9664,2077,2688,3895
2,2009,OLK,30495,5509,977,1043,1832
2,2009,PAK,21183,3387,927,1065,1460
2,2009,PHA,19845,4566,7786,6675,840
2,2009,PLK,20592,3913,1371,2224,1189
2,2009,STC,37244,6818,3129,2922,2349
2,2009,ULK,52161,6577,970,1527,3108
2,2009,VYS,22956,3731,607,1094,1585
2,2009,ZLK,25205,4016,742,1341,1736
3,2009,HKK,19841,3739,896,1143,1279
3,2009,JHC,23051,4224,1035,1257,1769
3,2009,JHM,53601,7727,2656,3736,3323
3,2009,KVK,16888,2348,513,604,981
3,2009,LBK,22360,3538,783,931,1208
3,2009,MSK,72372,9809,2404,3125,3934
3,2009,OLK,32336,5142,1371,1169,1904
3,2009,PAK,22105,3629,1036,1021,1523
3,2009,PHA,21284,5041,5649,9637,880
3,2009,PLK,21714,3885,1320,2063,1241
3,2009,STC,39204,7405,2698,4443,2404
3,2009,ULK,53292,6520,1250,1695,3078
3,2009,VYS,24065,3414,774,812,1708
3,2009,ZLK,26799,4008,902,1120,1794
4,2009,HKK,20352,3922,971,961,1268
4,2009,JHC,23033,4277,1048,1125,1754
4,2009,JHM,53574,7808,2807,3191,3213
4,2009,KVK,17737,3111,620,631,979
4,2009,LBK,23372,3751,962,829,1237
4,2009,MSK,73360,9649,2164,2128,3875
4,2009,OLK,33198,5599,910,1261,1897
4,2009,PAK,22180,3577,996,1358,1470
4,2009,PHA,22268,4888,4496,6591,871
4,2009,PLK,22267,4140,909,1411,1283
4,2009,STC,39540,6971,1928,2726,2367
4,2009,ULK,54599,7686,1197,1365,3094
4,2009,VYS,23569,3278,455,569,1644
4,2009,ZLK,27677,4395,908,1120,1796
5,2009,HKK,20236,2975,853,898,1149
5,2009,JHC,22511,3080,1085,843,1485
5,2009,JHM,53281,5977,2240,2042,2851
5,2009,KVK,17624,2003,436,570,904
5,2009,LBK,23587,2828,657,915,1151
5,2009,MSK,74020,8085,1875,2125,3414
5,2009,OLK,33361,4171,808,848,1692
5,2009,PAK,21847,2701,773,572,1278
5,2009,PHA,23114,4385,4103,5060,798
5,2009,PLK,22580,3182,688,1071,1167
5,2009,STC,39522,5572,2102,2664,2088
5,2009,ULK,54503,5522,1109,1306,2834
5,2009,VYS,23330,2774,472,558,1416
5,2009,ZLK,28045,3432,728,720,1538
6,2009,HKK,20358,2998,915,1005,992
6,2009,JHC,22589,3542,831,1040,1249
6,2009,JHM,54382,6964,1724,2406,2480
6,2009,KVK,17653,2084,384,482,802
6,2009,LBK,23899,2961,777,631,983
6,2009,MSK,75230,8491,1777,2212,2900
6,2009,OLK,33891,4264,811,1036,1432
6,2009,PAK,21963,2901,993,1346,1117
6,2009,PHA,23984,4664,3365,5285,757
6,2009,PLK,22947,3276,1008,990,977
6,2009,STC,40000,5912,2036,2476,1851
6,2009,ULK,54239,5916,1208,1406,2409
6,2009,VYS,23698,3113,381,578,1169
6,2009,ZLK,28722,3652,740,909,1212
7,2009,HKK,21517,3763,779,900,1052
7,2009,JHC,23293,3797,741,768,1351
7,2009,JHM,56918,7841,1637,1738,2623
7,2009,KVK,18024,2189,400,480,801
7,2009,LBK,24644,3174,762,790,1012
7,2009,MSK,77747,9297,1805,1730,3078
7,2009,OLK,36036,5626,852,976,1571
7,2009,PAK,23250,3709,938,1074,1267
7,2009,PHA,25957,5255,2941,4130,827
7,2009,PLK,24494,4105,1243,1065,995
7,2009,STC,42244,7124,1943,1910,1874
7,2009,ULK,55541,6350,1030,1083,2386
7,2009,VYS,25167,3659,486,435,1313
7,2009,ZLK,30487,4333,579,696,1329
8,2009,HKK,21713,2879,1028,774,1295
8,2009,JHC,23497,3262,932,917,1540
8,2009,JHM,58508,6720,1903,1819,3417
8,2009,KVK,17966,1891,552,459,910
8,2009,LBK,24758,2704,887,814,1141
8,2009,MSK,77970,7532,1925,1758,3839
8,2009,OLK,36546,3868,845,780,1997
8,2009,PAK,23556,2840,984,884,1510
8,2009,PHA,27247,4668,2766,4048,953
8,2009,PLK,25249,3593,1021,884,1168
8,2009,STC,43664,6240,1601,1880,2290
8,2009,ULK,56388,6000,1089,942,2802
8,2009,VYS,25762,2920,672,547,1658
8,2009,ZLK,30927,3285,772,937,1604
9,2009,HKK,21825,3953,965,1229,1982
9,2009,JHC,23848,4859,783,899,2259
9,2009,JHM,59487,9319,1806,1977,4820
9,2009,KVK,18160,2647,347,450,1269
