month,year,kraj,celkem,m_do_65,z_do_65
march,2023,OLK,14636,2968,6399
march,2023,PAK,20882,4729,9075
march,2023,PLK,36970,8479,18098
march,2023,STC,63947,12731,27444
march,2023,ZLK,13321,3044,5826
march,2023,ULK,24012,4728,10129
april,2023,PHA,80869,19773,36004
april,2023,JHM,33458,8107,15235
april,2023,JHC,16624,4028,7127
april,2023,KVK,12967,2568,5965
april,2023,VYS,12949,3547,5425
april,2023,HKK,14658,3502,6150
april,2023,LBK,14062,3084,6409
april,2023,MSK,19350,4290,8419
april,2023,OLK,10650,2523,4588
april,2023,PAK,15455,3997,6593
april,2023,PLK,27744,7133,13468
april,2023,STC,45345,10699,19401
april,2023,ZLK,10186,2581,4438
april,2023,ULK,17327,3905,7146
may,2023,PHA,82840,20593,36865
may,2023,JHM,34387,8404,15719
may,2023,JHC,16913,4149,7262
may,2023,KVK,13124,2602,6039
may,2023,VYS,13389,3690,5644
may,2023,HKK,15018,3635,6323
may,2023,LBK,14296,3179,6510
may,2023,MSK,19765,4438,8619
may,2023,OLK,10953,2627,4741
may,2023,PAK,15712,4072,6719
may,2023,PLK,28214,7324,13670
may,2023,STC,46372,11029,19875
may,2023,ZLK,10331,2644,4499
may,2023,ULK,17483,3967,7207
june,2023,PHA,85237,21426,37906
june,2023,JHM,35453,8633,16341
june,2023,JHC,17152,4195,7382
june,2023,KVK,13332,2637,6161
june,2023,VYS,13833,3798,5862
june,2023,HKK,15285,3682,6436
june,2023,LBK,14531,3205,6635
june,2023,MSK,20082,4535,8736
june,2023,OLK,11252,2712,4897
june,2023,PAK,16152,4180,6924
june,2023,PLK,28928,7524,14065
june,2023,STC,47583,11352,20535
june,2023,ZLK,10598,2729,4631
june,2023,ULK,17803,4084,7323
july,2023,PHA,88077,22397,39026
july,2023,JHM,36614,8908,17001
july,2023,JHC,17589,4293,7581
july,2023,KVK,13635,2691,6315
july,2023,VYS,14266,3935,6031
july,2023,HKK,15679,3815,6580
july,2023,LBK,14838,3292,6768
july,2023,MSK,20591,4677,8924
july,2023,OLK,11619,2824,5078
july,2023,PAK,16607,4309,7101
july,2023,PLK,29805,7741,14542
july,2023,STC,48795,11767,21063
july,2023,ZLK,10912,2829,4787
july,2023,ULK,18178,4242,7463
august,2023,PHA,89961,23028,39848
august,2023,JHM,37223,9142,17279
august,2023,JHC,17845,4393,7687
august,2023,KVK,13856,2723,6436
august,2023,VYS,14684,4045,6211
august,2023,HKK,16044,3936,6708
august,2023,LBK,15128,3413,6878
august,2023,MSK,20925,4821,9053
august,2023,OLK,11816,2887,5189
august,2023,PAK,16860,4381,7226
august,2023,PLK,30422,7920,14863
august,2023,STC,49670,12071,21440
august,2023,ZLK,11064,2885,4842
august,2023,ULK,18402,4353,7527
september,2023,PHA,91970,23802,40615
september,2023,JHM,38103,9394,17744
september,2023,JHC,18076,4466,7808
september,2023,KVK,14133,2773,6608
september,2023,VYS,15018,4162,6374
september,2023,HKK,16416,4056,6886
september,2023,LBK,15320,3499,6970
september,2023,MSK,21262,4943,9186
september,2023,OLK,11998,2950,5288
september,2023,PAK,17134,4483,7364
september,2023,PLK,31125,8115,15249
september,2023,STC,50655,12404,21942
september,2023,ZLK,11226,2955,4907
september,2023,ULK,18588,4433,7596
